id,name,line,geometry,longitude,latitude,type,town
237106,Garbí,4,POINT (-0.3945111033066965 39.4922905363387),-0.3945111033066965,39.4922905363387,metrovalencia,Benicalap - València
237107,Florista,4,POINT (-0.396816670526207 39.49443439623788),-0.39681667052620695,39.49443439623788,metrovalencia,Benicalap - València
237235,Neptú,8,POINT (-0.3258508438284417 39.463253060287585),-0.3258508438284417,39.463253060287585,metrovalencia,Grao - València
237212,Machado,"3,5,7,9",POINT (-0.3587944504398191 39.49243168035884),-0.35879445043981906,39.49243168035884,metrovalencia,Benimaclet - València
237201,Roses,"3,5,9",POINT (-0.4672361011828295 39.49264911773043),-0.46723610118282954,39.49264911773043,metrovalencia,Manises
237131,Amistat,"5,7",POINT (-0.3503944579110447 39.47033313859402),-0.35039445791104473,39.47033313859402,metrovalencia,Amistat - València
237132,Aragó,"5,7",POINT (-0.3581166561927953 39.47262577229274),-0.3581166561927953,39.47262577229274,metrovalencia,Mestalla - València
237175,Castelló,1,POINT (-0.5160138604081964 39.08400730254416),-0.5160138604081964,39.08400730254416,metrovalencia,Castelló
237167,Alginet,1,POINT (-0.4748859996779908 39.26293949225646),-0.4748859996779908,39.26293949225646,metrovalencia,Alginet
237238,Quatre Carreres,10,POINT (-0.3601250002310422 39.452447039546065),-0.3601250002310422,39.452447039546065,metrovalencia,La Fonteta de Sant Lluis - València
237243,Oceanogràfic,10,POINT (-0.3473420005329418 39.4520380392216),-0.3473420005329418,39.4520380392216,metrovalencia,Ciutat de les Arts i les Ciències - València
237108,Palau de Congressos,4,POINT (-0.400141656549996 39.497180977837964),-0.40014165654999595,39.497180977837964,metrovalencia,Benicalap - València
237112,Campus,4,POINT (-0.4174583255801421 39.5072212611679),-0.41745832558014206,39.5072212611679,metrovalencia,Burjassot
237187,Entrepins,2,POINT (-0.5139539842919837 39.54333500081282),-0.5139539842919837,39.54333500081282,metrovalencia,L'Eliana
237151,Burjassot,1,POINT (-0.4067361054400869 39.508415261654285),-0.4067361054400869,39.508415261654285,metrovalencia,Burjassot
237207,Mislata,"3,5,9",POINT (-0.4183055461360697 39.473823587168184),-0.41830554613606974,39.473823587168184,metrovalencia,Mislata
237154,Túria,"1,2",POINT (-0.391205548747755 39.47886661649007),-0.39120554874775504,39.47886661649007,metrovalencia,Campanar - València
237186,La Vallesa,2,POINT (-0.4979777639374245 39.53784183692217),-0.4979777639374245,39.53784183692217,metrovalencia,Paterna
237172,Montortal,1,POINT (-0.5158861281369649 39.17379764708401),-0.5158861281369649,39.17379764708401,metrovalencia,L'Alcúdia
237148,Rocafort,1,POINT (-0.4075777828732151 39.52870945118481),-0.4075777828732151,39.52870945118481,metrovalencia,Rocafort
237146,Moncada - Alfara,1,POINT (-0.3884611127603637 39.54352955038101),-0.3884611127603637,39.54352955038101,metrovalencia,Moncada - Alfara
237158,Masies,1,POINT (-0.4053777748647457 39.566581765432026),-0.4053777748647457,39.566581765432026,metrovalencia,Moncada - Alfara
237240,Russafa,10,POINT (-0.3695310001644055 39.46391303921369),-0.36953100016440554,39.46391303921369,metrovalencia,Russafa - València
237124,Orriols,"1,6",POINT (-0.367663622109971 39.49314884351592),-0.367663622109971,39.49314884351592,metrovalencia,Orriols - València
237100,Pont de Fusta,4,POINT (-0.3731805686023085 39.481781045417804),-0.37318056860230847,39.481781045417804,metrovalencia,Morvedre - València
237113,Vicent Andrés Estellés,4,POINT (-0.4198839965021366 39.50856022050974),-0.41988399650213665,39.50856022050974,metrovalencia,Burjassot
237114,À Punt,4,POINT (-0.4247489864954702 39.51220325625923),-0.4247489864954702,39.51220325625923,metrovalencia,Burjassot
237117,La Coma,4,POINT (-0.4317069942770743 39.521572152247394),-0.43170699427707426,39.521572152247394,metrovalencia,Paterna
237125,Estadi Ciutat de València,"1,6",POINT (-0.3655419949094195 39.494918863018285),-0.36554199490941947,39.494918863018285,metrovalencia,Orriols - València
237210,Xàtiva,"3,5,9",POINT (-0.377375006091083 39.46718601400712),-0.377375006091083,39.46718601400712,metrovalencia,Sant Francesc - València
237204,Quart de Poblet,"3,5,9",POINT (-0.4418805541345874 39.48108677099763),-0.44188055413458743,39.48108677099763,metrovalencia,Quart de Poblet
237217,Meliana,3,POINT (-0.3518194551700547 39.52803043467392),-0.3518194551700547,39.52803043467392,metrovalencia,Meliana
237218,Foios,3,POINT (-0.3538694381672806 39.537223855758896),-0.35386943816728056,39.537223855758896,metrovalencia,Foios
237180,Les Carolines - Fira,2,POINT (-0.4254194497239249 39.49873737508498),-0.42541944972392487,39.49873737508498,metrovalencia,Benimàmet - València
237234,Canyamelar,"6,8",POINT (-0.3279320004180729 39.46652225619434),-0.32793200041807286,39.46652225619434,metrovalencia,Cabanyal-Canyamelar - València
237166,Font Almaguer,1,POINT (-0.4640861159260068 39.289405862125854),-0.46408611592600685,39.289405862125854,metrovalencia,Benifaio
237101,Sagunt,4,POINT (-0.3749722238203376 39.486499825901895),-0.3749722238203376,39.486499825901895,metrovalencia,València
237153,Campanar,"1,2",POINT (-0.3950361010065258 39.48463062443623),-0.3950361010065258,39.48463062443623,metrovalencia,Campanar - València
237221,Massamagrell,3,POINT (-0.333033323500629 39.57056049493916),-0.333033323500629,39.57056049493916,metrovalencia,Massamagrell
