municipio,tipo,id_x,nombre_x,geometry_x,longitud_x,latitud_x,linea_x,intento1_x,indices,id_y,nombre_y,linea_y,geometry_y,longitud_y,latitud_y,intento1_y
Benimaclet,emt,1902.0,Catalunya - Guardia Civil,POINT (-0.354269746778333 39.47969817836995),-0.3542697467783333,39.47969817836995,,Catalunya - Guardia Civil,33,1902.0,Catalunya - Guardia Civil (1902),"93,98",POINT (-0.3542697867591446 39.47969835044653),-0.3542697867591446,39.47969835044653,Catalunya - Guardia Civil 
Benimaclet,emt,216.0,Primat Reig - Calder�n de la Barca,POINT (-0.366171259222875 39.48613270459626),-0.36617125922287475,39.48613270459626,,Primat Reig - Calder�n de la Barca,34,216.0,Primat Reig - Calderón de la Barca (216),"90,N2",POINT (-0.366171206986556 39.486132856561134),-0.366171206986556,39.486132856561134,Primat Reig - Calderón de la Barca 
Benimaclet,emt,965.0,Germans Villalonga - Enric Navarro,POINT (-0.357189289950929 39.48549508398447),-0.3571892899509292,39.48549508398447,,Germans Villalonga - Enric Navarro,35,1162.0,Passeig Marítim - Mendizábal (1162),32,POINT (-0.3252024019888047 39.48355244046615),-0.3252024019888047,39.48355244046615,Passeig Marítim - Mendizábal 
Benimaclet,emt,965.0,Germans Villalonga - Enric Navarro,POINT (-0.357189289950929 39.48549508398447),-0.3571892899509292,39.48549508398447,,Germans Villalonga - Enric Navarro,35,965.0,Germans Villalonga - Enric Navarro (965),10,POINT (-0.3571893087552929 39.48549520152587),-0.35718930875529287,39.48549520152587,Germans Villalonga - Enric Navarro 
Benimaclet,emt,987.0,Mistral - Murta,POINT (-0.357820588835768 39.48586627723645),-0.35782058883576806,39.48586627723645,,Mistral - Murta,38,387.0,Polvorí - Sinarques (387),62,POINT (-0.4252266367622226 39.500991787797524),-0.42522663676222255,39.500991787797524,Polvorí - Sinarques 
Benimaclet,emt,987.0,Mistral - Murta,POINT (-0.357820588835768 39.48586627723645),-0.35782058883576806,39.48586627723645,,Mistral - Murta,38,987.0,Mistral - Murta (987),10,POINT (-0.3578205939800466 39.485866448519644),-0.35782059398004656,39.485866448519644,Mistral - Murta 
Marxalenes,emt,2160.0,Burjassot - Marxalenes,POINT (-0.386812966018187 39.48635749372254),-0.3868129660181875,39.48635749372254,,Burjassot - Marxalenes,39,7.0,Edifici del Rellotge (7),"19,92,95,N9",POINT (-0.3324961026053938 39.46035702072443),-0.3324961026053938,39.46035702072443,Edifici del Rellotge 
Marxalenes,emt,2160.0,Burjassot - Marxalenes,POINT (-0.386812966018187 39.48635749372254),-0.3868129660181875,39.48635749372254,,Burjassot - Marxalenes,39,2160.0,Burjassot - Marxalenes (2160),"28,94,N10",POINT (-0.386812993791799 39.48635768353169),-0.386812993791799,39.48635768353169,Burjassot - Marxalenes 
Marxalenes,emt,2160.0,Burjassot - Marxalenes,POINT (-0.386812966018187 39.48635749372254),-0.3868129660181875,39.48635749372254,,Burjassot - Marxalenes,39,2160.0,Burjassot - Marxalenes (2160),"28,94,N10",POINT (-0.3868134851295496 39.486370018608675),-0.38681348512954955,39.486370018608675,Burjassot - Marxalenes 
Marxalenes,emt,328.0,Constituci� - M�laga,POINT (-0.378759298694314 39.48522530969868),-0.3787592986943139,39.48522530969868,,Constituci� - M�laga,40,1587.0,Marina de València (1587),"19,92",POINT (-0.3294739656056153 39.46378658245906),-0.3294739656056153,39.46378658245906,Marina de València 
Marxalenes,emt,333.0,Burjassot - Dr. Peset Aleixandre,POINT (-0.389068856411042 39.48833455459579),-0.38906885641104155,39.48833455459579,,Burjassot - Dr. Peset Aleixandre,41,333.0,Burjassot - Dr. Peset Aleixandre (333),"28,94,N10",POINT (-0.3890689091090323 39.48833469992052),-0.3890689091090323,39.48833469992052,Burjassot - Dr. Peset Aleixandre 
El Calvari,emt,1829.0,General Avil�s - Conchita Piquer,POINT (-0.390596854504333 39.48801933698775),-0.3905968545043331,39.48801933698775,,General Avil�s - Conchita Piquer,43,154.0,Blasco Ibáñez - Rubén Darío (154),"30,31,71,81,89,N1",POINT (-0.3539115521832035 39.475908821952615),-0.3539115521832035,39.475908821952615,Blasco Ibáñez - Rubén Darío 
El Calvari,emt,1829.0,General Avil�s - Conchita Piquer,POINT (-0.390596854504333 39.48801933698775),-0.3905968545043331,39.48801933698775,,General Avil�s - Conchita Piquer,43,1829.0,General Avilés - Conchita Piquer (1829),94,POINT (-0.3905968368320168 39.48801949874912),-0.3905968368320168,39.48801949874912,General Avilés - Conchita Piquer 
Morvedre,emt,1807.0,Argenter Su�rez - Ministre Luis Mayans,POINT (-0.372969998668439 39.485473749022596),-0.3729699986684393,39.485473749022596,,Argenter Su�rez - Ministre Luis Mayans,44,1807.0,Argenter Suárez - Ministre Luis Mayans (1807),"98,N10",POINT (-0.3729700513308436 39.48547389435351),-0.3729700513308436,39.48547389435351,Argenter Suárez - Ministre Luis Mayans 
Morvedre,emt,342.0,Guadalaviar - Sagunt,POINT (-0.37549619662076 39.48200605885308),-0.3754961966207597,39.48200605885308,,Guadalaviar - Sagunt,47,231.0,Eduard Boscà - Balears (231),"18,89",POINT (-0.3577284538779769 39.46429795476555),-0.35772845387797686,39.46429795476555,Eduard Boscà - Balears 
Morvedre,emt,342.0,Guadalaviar - Sagunt,POINT (-0.37549619662076 39.48200605885308),-0.3754961966207597,39.48200605885308,,Guadalaviar - Sagunt,47,342.0,Guadalaviar - Sagunt (342),"79,94,95",POINT (-0.3754961789160185 39.482006220611204),-0.3754961789160185,39.482006220611204,Guadalaviar - Sagunt 
Trinitat,emt,1318.0,Molinell (par) - Alboraia,POINT (-0.369712257268435 39.48494105537715),-0.3697122572684346,39.48494105537715,,Molinell  - Alboraia,48,1806.0,Molinell (imparell) - Alboraia (1806),"98,N10",POINT (-0.3700428613032802 39.48520324342893),-0.3700428613032802,39.48520324342893,Molinell  - Alboraia 
Trinitat,emt,1318.0,Molinell (par) - Alboraia,POINT (-0.369712257268435 39.48494105537715),-0.3697122572684346,39.48494105537715,,Molinell  - Alboraia,48,1318.0,Molinell (parell) - Alboraia (1318),98,POINT (-0.3697122176746564 39.484941180603634),-0.36971221767465645,39.484941180603634,Molinell  - Alboraia 
Trinitat,emt,2232.0,Alboraia - Jaca,POINT (-0.369378912664264 39.48413398096493),-0.36937891266426354,39.48413398096493,,Alboraia - Jaca,51,2232.0,Alboraia - Jaca (2232),"11,N10",POINT (-0.3693788614546257 39.484134105928334),-0.36937886145462573,39.484134105928334,Alboraia - Jaca 
Les Tendetes,emt,1311.0,Pare Ferr�s - Men�ndez Pidal,POINT (-0.384989740882885 39.483100789035255),-0.3849897408828854,39.483100789035255,,Pare Ferr�s - Men�ndez Pidal,52,284.0,Camí de Montcada - Casa d'Àngel (284),26,POINT (-0.3839692130139706 39.506847919125384),-0.38396921301397063,39.506847919125384,Camí de Montcada - Casa d'Àngel 
Les Tendetes,emt,1812.0,Joaqu�m Ballester (impar) - Pare Ferris,POINT (-0.385471613084134 39.48481366339586),-0.3854716130841338,39.48481366339586,,Joaqu�m Ballester  - Pare Ferris,54,1812.0,Joaquím Ballester (imparell) - Pare Ferris (1812),98,POINT (-0.3854716070173363 39.484813825417525),-0.3854716070173363,39.484813825417525,Joaquím Ballester  - Pare Ferris 
Les Tendetes,emt,2319.0,Pare Ferris - Gregori Gea,POINT (-0.384558994148234 39.48291208995815),-0.3845589941482335,39.48291208995815,,Pare Ferris - Gregori Gea,55,70.0,Poliesportiu Natzaret - Moraira (70),"30,4,95,N8",POINT (-0.3324287753532208 39.45055909542334),-0.33242877535322085,39.45055909542334,Poliesportiu Natzaret - Moraira 
Campanar,emt,1265.0,Campanar (par) - la Fe,POINT (-0.391946736634951 39.48372577931639),-0.39194673663495105,39.48372577931639,,Campanar  - la Fe,57,1422.0,Petxina - Pérez Galdos (1422),95,POINT (-0.3967538585909202 39.474647788340086),-0.39675385859092016,39.474647788340086,Petxina - Pérez Galdos 
Campanar,emt,1272.0,Pius XII (impar) - Monestir de Poblet,POINT (-0.396103592058122 39.48504131725152),-0.3961035920581221,39.48504131725152,,Pius XII  - Monestir de Poblet,59,290.0,Carpesa (290),26,POINT (-0.3773143752871361 39.515098993531204),-0.3773143752871361,39.515098993531204,Carpesa 
Campanar,emt,2097.0,Vall de la Ballestera (impar) - Mestre Rodrigo,POINT (-0.397790057418861 39.47915535179728),-0.39779005741886087,39.47915535179728,,Vall de la Ballestera  - Mestre Rodrigo,60,415.0,Vall de la Ballestera (parell) - Mestre Rodrigo (415),"98,99",POINT (-0.397938691709507 39.47932159552723),-0.39793869170950696,39.47932159552723,Vall de la Ballestera  - Mestre Rodrigo 
