Geo Point;Geo Shape;codbarrio;nombre;coddistbar;coddistrit;codbar;transporte;stop_id;stop_name;stop_desc;X;Y;zone_id
39.48332151477854, -0.35850346342185646;"{""coordinates"": [-0.358503463421856, 39.48332151477854], ""type"": ""Point""}";1;BENIMACLET;141;14;141;emt;985;Jaume Esteve Cubells - Dr. Vicent Zaragoz�;C JAIME ESTEVE CUBELLS 6 - VAL�NCIA;727183.11;4373744.72;
39.48797210819133, -0.383836935925793;"{""coordinates"": [-0.383836935925793, 39.48797210819133], ""type"": ""Point""}";1;MARXALENES;051;5;51;metrovlc;95;Marxalenes;NULL;724989.0;4374197.33;A
39.48902161372383, -0.38721137478935247;"{""coordinates"": [-0.387211374789352, 39.48902161372383], ""type"": ""Point""}";1;MARXALENES;051;5;51;emt;1693;Dr. Peset Aleixandre - En Guillem Ferrer;AV DOCTOR PESET ALEIXANDRE 133 - VAL�NCIA;724695.38;4374305.4;
39.48577504733034, -0.38003052938852383;"{""coordinates"": [-0.380030529388524, 39.48577504733034], ""type"": ""Point""}";1;MARXALENES;051;5;51;emt;1809;Reus (impar) - Poeta Fdez. Heredia;C  31 - VAL�NCIA;725323.49;4373962.97;
39.48579459216533, -0.38354876298399515;"{""coordinates"": [-0.383548762983995, 39.48579459216533], ""type"": ""Point""}";1;MARXALENES;051;5;51;emt;1810;Reus - Periodista Llorente;C  16 (DAVANT) - VAL�NCIA;725020.81;4373956.34;
39.4855359988057, -0.37938531167395867;"{""coordinates"": [-0.379385311673959, 39.4855359988057], ""type"": ""Point""}";1;MARXALENES;051;5;51;emt;1814;Reus (par) - Poeta Fdez. Heredia;C  32 ACC - VAL�NCIA;725379.76;4373938.05;
39.48723665241967, -0.3885997826962964;"{""coordinates"": [-0.388599782696296, 39.48723665241967], ""type"": ""Point""}";3;EL CALVARI;043;4;43;emt;353;Dr. Nicasi Benlloch - Alcubles;C DOCTOR NICASIO BENLLOCH 3 - VAL�NCIA;724581.71;4374103.8;
39.48532804888433, -0.3764018821741221;"{""coordinates"": [-0.376401882174122, 39.48532804888433], ""type"": ""Point""}";2;MORVEDRE;052;5;52;emt;1815;Ruaya (impar) - Visitaci�;C  23 - VAL�NCIA;725637.05;4373922.44;
39.485268897192846, -0.3728747060012317;"{""coordinates"": [-0.372874706001232, 39.485268897192846], ""type"": ""Point""}";2;MORVEDRE;052;5;52;emt;1816;Argenter Su�rez - Miraculosa;C  11 - VAL�NCIA;725940.63;4373924.72;
39.482860936855275, -0.37269519070149687;"{""coordinates"": [-0.372695190701497, 39.482860936855275], ""type"": ""Point""}";2;MORVEDRE;052;5;52;emt;2234;Almassora - Pintor Vilar;C ALMAZORA 16ACC (DAV) - VAL�NCIA;725963.87;4373657.88;
39.48622967662349, -0.3746561517453949;"{""coordinates"": [-0.374656151745395, 39.48622967662349], ""type"": ""Point""}";2;MORVEDRE;052;5;52;emt;322;Sagunt - Fra Pere Vives;C SAGUNTO 110 - VAL�NCIA;725784.29;4374026.9;
39.48399951911224, -0.3642046138274609;"{""coordinates"": [-0.364204613827461, 39.48399951911224], ""type"": ""Point""}";3;TRINITAT;053;5;53;emt;171;Cabanilles - Primat Reig;C CAVANILLES 7 - VAL�NCIA;726690.5100000001;4373805.61;
39.48520312720345, -0.3700429005573647;"{""coordinates"": [-0.370042900557365, 39.48520312720345], ""type"": ""Point""}";3;TRINITAT;053;5;53;emt;1806;Molinell (impar) - Alboraia;C MOLINELL 1 - VAL�NCIA;726184.4199999999;4373924.53;
39.48494715283876, -0.3669663464050657;"{""coordinates"": [-0.366966346405066, 39.48494715283876], ""type"": ""Point""}";3;TRINITAT;053;5;53;emt;2095;Molinell (impar) - Pintor Genaro Lahuerta;C MOLINELL 21 - VAL�NCIA;726449.88;4373903.85;
