Id. Parada;Cod. Via / Cod. Vía;Num. Portal;Suprimida;Denominació / Denominación;Línies / Líneas;Pròximes Arribades / Proximas Llegadas;geo_shape;geo_point_2d
761.0;67710.0;5;0;Sant Francesc de Borja - Jesús (761);67,70,71,72,93,N4,N5;http://www.emtvalencia.es/QR.php?sec=est&p=761;"{""coordinates"": [-0.38513212159805715, 39.46600251713517], ""type"": ""Point""}";39.46600251713517, -0.38513212159805715
796.0;35100.0;IVAM;0;IVAM (796);C1;http://www.emtvalencia.es/QR.php?sec=est&p=796;"{""coordinates"": [-0.38293125465284933, 39.48002307784448], ""type"": ""Point""}";39.48002307784448, -0.38293125465284933
621.0;38400.0;41;0;Joaquín Benlloch - Oltà (621);6,N7;http://www.emtvalencia.es/QR.php?sec=est&p=621;"{""coordinates"": [-0.3755675178299468, 39.45231574613625], ""type"": ""Point""}";39.45231574613625, -0.3755675178299468
639.0;11070.0;13;0;Bèrnia - Ausiàs March (639);7;http://www.emtvalencia.es/QR.php?sec=est&p=639;"{""coordinates"": [-0.37270548352234756, 39.45403360415668], ""type"": ""Point""}";39.45403360415668, -0.37270548352234756
588.0;63090.0;39;0;Real de Madrid - Hellín (588);27,9,N6;http://www.emtvalencia.es/QR.php?sec=est&p=588;"{""coordinates"": [-0.39112143546933076, 39.43395856502526], ""type"": ""Point""}";39.43395856502526, -0.39112143546933076
602.0;43770.0;5;0;Mestre Racional - Regne de València (602);15,90;http://www.emtvalencia.es/QR.php?sec=est&p=602;"{""coordinates"": [-0.36329135426121617, 39.46343654105763], ""type"": ""Point""}";39.46343654105763, -0.36329135426121617
206.0;61410.0;14;0;Primat Reig - Bilbao (206);90,N2;http://www.emtvalencia.es/QR.php?sec=est&p=206;"{""coordinates"": [-0.3715588686786924, 39.490142892523416], ""type"": ""Point""}";39.490142892523416, -0.3715588686786924
273.0;70530.0;5;0;Sant Doménec Savio - Constitució (273);6,60;http://www.emtvalencia.es/QR.php?sec=est&p=273;"{""coordinates"": [-0.374108750873881, 39.49239707202728], ""type"": ""Point""}";39.49239707202728, -0.374108750873881
174.0;37890.0;12;0;Jaume Roig - Álvaro de Bazán (174);12,70;http://www.emtvalencia.es/QR.php?sec=est&p=174;"{""coordinates"": [-0.3639104429842347, 39.48127042429335], ""type"": ""Point""}";39.48127042429335, -0.3639104429842347
179.0;26820.0;58;0;Emili Baró - Francesc Martínez (179);12,70;http://www.emtvalencia.es/QR.php?sec=est&p=179;"{""coordinates"": [-0.3604598366988009, 39.488297463421254], ""type"": ""Point""}";39.488297463421254, -0.3604598366988009
194.0;61410.0;123;0;Primat Reig - Emili Baró (194);89,98,N2;http://www.emtvalencia.es/QR.php?sec=est&p=194;"{""coordinates"": [-0.36332855980841294, 39.48440252426396], ""type"": ""Point""}";39.48440252426396, -0.36332855980841294
54.0;45870.0;16;0;Mercat del Cabanyal (54);32,N1,N9;http://www.emtvalencia.es/QR.php?sec=est&p=54;"{""coordinates"": [-0.33241183845307887, 39.46831556303038], ""type"": ""Point""}";39.46831556303038, -0.33241183845307887
1424.0;56340.0;28;0;Petxina - Ferran el Catòlic (1424);95;http://www.emtvalencia.es/QR.php?sec=est&p=1424;"{""coordinates"": [-0.39068182185329486, 39.477184088755735], ""type"": ""Point""}";39.477184088755735, -0.39068182185329486
169.0;900.0;56 (JARDÍ LATERAL);0;Blasco Ibáñez - Bèlgica (169);30,31,71,81,90,N1;http://www.emtvalencia.es/QR.php?sec=est&p=169;"{""coordinates"": [-0.35483999726230825, 39.47583189033342], ""type"": ""Point""}";39.47583189033342, -0.35483999726230825
1690.0;33900.0;13;0;Giorgeta - Albacete (1690);90;http://www.emtvalencia.es/QR.php?sec=est&p=1690;"{""coordinates"": [-0.38600264315793864, 39.46154303335536], ""type"": ""Point""}";39.46154303335536, -0.38600264315793864
1677.0;14730.0;54;0;Cardenal Benlloch -La  Pobla de Farnals (1677);18,89;http://www.emtvalencia.es/QR.php?sec=est&p=1677;"{""coordinates"": [-0.35491934375558276, 39.469942730509096], ""type"": ""Point""}";39.469942730509096, -0.35491934375558276
1680.0;61410.0;103;0;Primat Reig - Viver (1680);89,N2;http://www.emtvalencia.es/QR.php?sec=est&p=1680;"{""coordinates"": [-0.36563642013248315, 39.48608666232242], ""type"": ""Point""}";39.48608666232242, -0.36563642013248315
1595.0;37470.0;193;0;Illes Canàries - Trafalgar (1595);30,4,92,N8;http://www.emtvalencia.es/QR.php?sec=est&p=1595;"{""coordinates"": [-0.3446181307742784, 39.46310543099896], ""type"": ""Point""}";39.46310543099896, -0.3446181307742784
1621.0;25680.0;230;0;Port - Noguera (1621);30,4,92,N8;http://www.emtvalencia.es/QR.php?sec=est&p=1621;"{""coordinates"": [-0.34182765825892686, 39.46253756205425], ""type"": ""Point""}";39.46253756205425, -0.34182765825892686
1592.0;40230.0;5;0;Joan Verdeguer - Isaac Peral (1592);19,30,4,92,N8;http://www.emtvalencia.es/QR.php?sec=est&p=1592;"{""coordinates"": [-0.3393311092781367, 39.45904837476364], ""type"": ""Point""}";39.45904837476364, -0.3393311092781367
1361.0;42340.0;DAVANT CIÈNCIES SOCIALS.;0;La Carrasca (1361);93,98;http://www.emtvalencia.es/QR.php?sec=est&p=1361;"{""coordinates"": [-0.34469609422232644, 39.47990625445434], ""type"": ""Point""}";39.47990625445434, -0.34469609422232644
1765.0;50130.0;3;0;Museu Faller (1765);13,15,24,25,95;http://www.emtvalencia.es/QR.php?sec=est&p=1765;"{""coordinates"": [-0.35857437973099404, 39.45917158425204], ""type"": ""Point""}";39.45917158425204, -0.35857437973099404
1756.0;71130.0;57;0;Serradora - Sants Just i Pastor (1756);99,N9;http://www.emtvalencia.es/QR.php?sec=est&p=1756;"{""coordinates"": [-0.3354156473789799, 39.46629622267687], ""type"": ""Point""}";39.46629622267687, -0.3354156473789799
1808.0;65850.0;42;0;Ruaya (parell) - Visitació (1808);98,N10;http://www.emtvalencia.es/QR.php?sec=est&p=1808;"{""coordinates"": [-0.377084971955387, 39.48555886989051], ""type"": ""Point""}";39.48555886989051, -0.377084971955387
