gid;Códi / Código;Nom / Nombre;Tipus / Tipo;Línia / Línea;Pròximes Arribades / Próximas Llegadas;proximes_llegadas;geo_shape;geo_point_2d
237167;43;Alginet;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=43&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=43&lang=va;"{""coordinates"": [-0.4748859996779908, 39.26293949225646], ""type"": ""Point""}";39.26293949225646, -0.4748859996779908
237238;193;Quatre Carreres;1;10;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=193&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=193&lang=va;"{""coordinates"": [-0.3601250002310422, 39.452447039546065], ""type"": ""Point""}";39.452447039546065, -0.3601250002310422
237243;195;Oceanogràfic;1;10;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=195&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=195&lang=va;"{""coordinates"": [-0.3473420005329418, 39.4520380392216], ""type"": ""Point""}";39.4520380392216, -0.3473420005329418
237108;100;Palau de Congressos;1;4;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=100&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=100&lang=va;"{""coordinates"": [-0.40014165654999595, 39.497180977837964], ""type"": ""Point""}";39.497180977837964, -0.40014165654999595
237112;103;Campus;1;4;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=103&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=103&lang=va;"{""coordinates"": [-0.41745832558014206, 39.5072212611679], ""type"": ""Point""}";39.5072212611679, -0.41745832558014206
237187;65;Entrepins;1;2;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=65&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=65&lang=va;"{""coordinates"": [-0.5139539842919837, 39.54333500081282], ""type"": ""Point""}";39.54333500081282, -0.5139539842919837
237151;72;Burjassot;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=72&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=72&lang=va;"{""coordinates"": [-0.4067361054400869, 39.508415261654285], ""type"": ""Point""}";39.508415261654285, -0.4067361054400869
237207;20;Mislata;1;3,5,9;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=20&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=20&lang=va;"{""coordinates"": [-0.41830554613606974, 39.473823587168184], ""type"": ""Point""}";39.473823587168184, -0.41830554613606974
237154;52;Túria;1;1,2;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=52&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=52&lang=va;"{""coordinates"": [-0.39120554874775504, 39.47886661649007], ""type"": ""Point""}";39.47886661649007, -0.39120554874775504
237186;64;La Vallesa;1;2;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=64&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=64&lang=va;"{""coordinates"": [-0.4979777639374245, 39.53784183692217], ""type"": ""Point""}";39.53784183692217, -0.4979777639374245
